Year,Country,Region,Sex,Age Group,Applications
2020,Pakistan,Asia South,Male,18 to 24,11
2020,Pakistan,Asia South,Male,25 to 39,22
2020,Pakistan,Asia South,Male,40 and over,1
2020,Pakistan,Asia South,Male,17 and under,2
2020,Refugee,Other,Female,17 and under,21
2020,Refugee,Other,Female,18 to 24,1
2020,Refugee,Other,Female,25 to 39,5
2020,Refugee,Other,Female,40 and over,8
2020,Refugee,Other,Male,17 and under,36
2020,Refugee,Other,Male,25 to 39,1
2020,Refugee,Other,Female,18 to 24,5
2020,Refugee,Other,Female,25 to 39,8
2020,Refugee,Other,Female,40 and over,9
2020,Refugee,Other,Male,17 and under,1
2020,Refugee,Other,Male,18 to 24,15
2020,Refugee,Other,Male,25 to 39,71
2020,Refugee,Other,Male,40 and over,28
2020,Refugee,Other,Male,17 and under,5
2020,Senegal,Africa Sub-Saharan,Male,18 to 24,2
2020,Senegal,Africa Sub-Saharan,Male,25 to 39,5
2020,Senegal,Africa Sub-Saharan,Male,17 and under,1
2020,Sierra Leone,Africa Sub-Saharan,Male,18 to 24,1
2020,Sierra Leone,Africa Sub-Saharan,Male,17 and under,1
2020,Somalia,Africa Sub-Saharan,Female,18 to 24,1
2020,Somalia,Africa Sub-Saharan,Male,18 to 24,1
2020,Somalia,Africa Sub-Saharan,Male,40 and over,1
2020,Somalia,Africa Sub-Saharan,Male,17 and under,2
2020,South Sudan,Africa Sub-Saharan,Male,17 and under,1
2020,South Sudan,Africa Sub-Saharan,Male,18 to 24,15
2020,South Sudan,Africa Sub-Saharan,Male,25 to 39,7
2020,South Sudan,Africa Sub-Saharan,Male,17 and under,5
2020,Sri Lanka,Asia South,Male,18 to 24,1
2020,Sri Lanka,Asia South,Male,25 to 39,11
2020,Stateless,Other,Female,17 and under,17
2020,Stateless,Other,Female,25 to 39,4
2020,Stateless,Other,Female,40 and over,2
2020,Stateless,Other,Male,17 and under,20
2020,Stateless,Other,Female,25 to 39,2
2020,Stateless,Other,Female,40 and over,5
2020,Stateless,Other,Male,18 to 24,11
2020,Stateless,Other,Male,25 to 39,41
2020,Stateless,Other,Male,40 and over,21
2020,Stateless,Other,Male,17 and under,3
2020,Sudan,Africa North,Male,17 and under,3
2020,Sudan,Africa North,Female,18 to 24,1
2020,Sudan,Africa North,Female,25 to 39,2
2020,Sudan,Africa North,Female,40 and over,2
2020,Sudan,Africa North,Male,17 and under,16
2020,Sudan,Africa North,Male,18 to 24,211
2020,Sudan,Africa North,Male,25 to 39,350
2020,Sudan,Africa North,Male,40 and over,40
2020,Sudan,Africa North,Female,17 and under,2
2020,Sudan,Africa North,Male,17 and under,135
2020,Sudan,Africa North,Male,18 to 24,4
2020,Sudan,Africa North,Male,25 to 39,1
2020,Syria,Middle East,Female,17 and under,7
2020,Syria,Middle East,Female,18 to 24,3
2020,Syria,Middle East,Female,25 to 39,2
2020,Syria,Middle East,Female,40 and over,1
2020,Syria,Middle East,Male,17 and under,4
2020,Syria,Middle East,Female,18 to 24,2
2020,Syria,Middle East,Female,25 to 39,4
2020,Syria,Middle East,Male,17 and under,5
2020,Syria,Middle East,Male,18 to 24,105
2020,Syria,Middle East,Male,25 to 39,147
2020,Syria,Middle East,Male,40 and over,23
2020,Syria,Middle East,Male,17 and under,9
2020,Syria,Middle East,Male,18 to 24,2
2020,Tajikistan,Asia Central,Female,18 to 24,1
2020,Tajikistan,Asia Central,Male,25 to 39,2
2020,Turkey,Europe Other,Male,18 to 24,1
2020,Turkey,Europe Other,Male,25 to 39,2
2020,Turkey,Europe Other,Male,40 and over,2
2020,Vietnam,Asia South East,Male,17 and under,2
2020,Vietnam,Asia South East,Male,18 to 24,6
2020,Vietnam,Asia South East,Male,25 to 39,22
2020,Vietnam,Asia South East,Male,17 and under,7
2020,Vietnam,Asia South East,Male,18 to 24,1
2020,Yemen,Middle East,Female,17 and under,3
2020,Yemen,Middle East,Female,25 to 39,1
2020,Yemen,Middle East,Female,40 and over,1
2020,Yemen,Middle East,Male,17 and under,1
2020,Yemen,Middle East,Female,18 to 24,2
2020,Yemen,Middle East,Female,25 to 39,1
2020,Yemen,Middle East,Female,40 and over,1
2020,Yemen,Middle East,Male,18 to 24,22
2020,Yemen,Middle East,Male,25 to 39,86
2020,Yemen,Middle East,Male,40 and over,12
2020,Yemen,Middle East,Male,17 and under,3
2020,Afghanistan,Asia Central,Male,18 to 24,2
2020,Afghanistan,Asia Central,Male,25 to 39,7
2020,Afghanistan,Asia Central,Male,40 and over,1
2020,Albania,Europe Other,Male,25 to 39,1
2020,Chad,Africa Sub-Saharan,Male,17 and under,1
2020,Egypt,Africa North,Male,40 and over,1
2020,Eritrea,Africa Sub-Saharan,Female,18 to 24,1
2020,Eritrea,Africa Sub-Saharan,Male,17 and under,2
2020,Eritrea,Africa Sub-Saharan,Male,18 to 24,1
2020,Georgia,Europe Other,Female,40 and over,1
2020,Iran,Middle East,Male,17 and under,2
2020,Iran,Middle East,Male,18 to 24,3
2020,Iran,Middle East,Male,25 to 39,6
2020,Iran,Middle East,Male,40 and over,1
2020,Iraq,Middle East,Female,17 and under,6
2020,Iraq,Middle East,Female,18 to 24,1
2020,Iraq,Middle East,Female,25 to 39,3
2020,Iraq,Middle East,Female,40 and over,1
2020,Iraq,Middle East,Male,17 and under,8
2020,Iraq,Middle East,Male,18 to 24,3
2020,Iraq,Middle East,Male,25 to 39,6
2020,Iraq,Middle East,Male,40 and over,3
2020,Libya,Africa North,Male,25 to 39,2
2020,Mali,Africa Sub-Saharan,Male,25 to 39,1
2020,Pakistan,Asia South,Male,25 to 39,3
2020,Refugee,Other,Male,18 to 24,1
2020,Sri Lanka,Asia South,Male,25 to 39,1
2020,Sudan,Africa North,Male,17 and under,1
2020,Sudan,Africa North,Male,25 to 39,5
2020,Syria,Middle East,Male,25 to 39,1
2020,Syria,Middle East,Male,40 and over,1
2020,Vietnam,Asia South East,Male,17 and under,4
2020,Afghanistan,Asia Central,Female,17 and under,1
2020,Afghanistan,Asia Central,Female,25 to 39,1
2020,Afghanistan,Asia Central,Male,17 and under,3
2020,Afghanistan,Asia Central,Female,25 to 39,1
2020,Afghanistan,Asia Central,Male,17 and under,2
2020,Afghanistan,Asia Central,Male,18 to 24,36
2020,Afghanistan,Asia Central,Male,25 to 39,38
2020,Afghanistan,Asia Central,Male,40 and over,6
2020,Afghanistan,Asia Central,Male,17 and under,37
2020,Albania,Europe Other,Male,18 to 24,6
2020,Albania,Europe Other,Male,25 to 39,11
2020,Chad,Africa Sub-Saharan,Male,17 and under,1
2020,Egypt,Africa North,Male,18 to 24,3
2020,Egypt,Africa North,Male,25 to 39,7
2020,Egypt,Africa North,Male,40 and over,1
2020,Egypt,Africa North,Male,18 to 24,1
2020,Eritrea,Africa Sub-Saharan,Female,17 and under,3
2020,Eritrea,Africa Sub-Saharan,Female,25 to 39,1
2020,Eritrea,Africa Sub-Saharan,Male,17 and under,1
2020,Eritrea,Africa Sub-Saharan,Female,18 to 24,5
2020,Eritrea,Africa Sub-Saharan,Female,25 to 39,13
2020,Eritrea,Africa Sub-Saharan,Male,17 and under,1
2020,Eritrea,Africa Sub-Saharan,Male,18 to 24,16
2020,Eritrea,Africa Sub-Saharan,Male,25 to 39,42
2020,Eritrea,Africa Sub-Saharan,Male,40 and over,5
2020,Eritrea,Africa Sub-Saharan,Female,17 and under,1
2020,Eritrea,Africa Sub-Saharan,Female,18 to 24,2
2020,Eritrea,Africa Sub-Saharan,Male,17 and under,4
2020,Ethiopia,Africa Sub-Saharan,Male,18 to 24,2
2020,Ethiopia,Africa Sub-Saharan,Male,25 to 39,3
2020,Ethiopia,Africa Sub-Saharan,Male,40 and over,1
2020,Ethiopia,Africa Sub-Saharan,Male,17 and under,1
2020,Gambia,Africa Sub-Saharan,Male,18 to 24,2
2020,Gambia,Africa Sub-Saharan,Male,17 and under,3
2020,Guinea,Africa Sub-Saharan,Male,18 to 24,4
2020,Guinea,Africa Sub-Saharan,Male,25 to 39,2
2020,Guinea,Africa Sub-Saharan,Male,17 and under,2
2020,Guinea,Africa Sub-Saharan,Male,18 to 24,1
2020,India,Asia South,Male,25 to 39,5
2020,India,Asia South,Male,40 and over,2
2020,Iran,Middle East,Female,17 and under,8
2020,Iran,Middle East,Female,18 to 24,1
2020,Iran,Middle East,Female,25 to 39,13
2020,Iran,Middle East,Female,40 and over,1
2020,Iran,Middle East,Male,17 and under,8
2020,Iran,Middle East,Male,40 and over,1
2020,Iran,Middle East,Female,18 to 24,3
2020,Iran,Middle East,Female,25 to 39,20
2020,Iran,Middle East,Female,40 and over,4
2020,Iran,Middle East,Male,17 and under,2
2020,Iran,Middle East,Male,18 to 24,84
2020,Iran,Middle East,Male,25 to 39,279
2020,Iran,Middle East,Male,40 and over,42
2020,Iran,Middle East,Male,17 and under,33
2020,Iran,Middle East,Male,18 to 24,1
2020,Iraq,Middle East,Female,17 and under,14
2020,Iraq,Middle East,Female,18 to 24,2
2020,Iraq,Middle East,Female,25 to 39,5
2020,Iraq,Middle East,Female,40 and over,3
2020,Iraq,Middle East,Male,17 and under,22
2020,Iraq,Middle East,Male,40 and over,2
2020,Iraq,Middle East,Female,18 to 24,2
2020,Iraq,Middle East,Female,25 to 39,4
2020,Iraq,Middle East,Female,40 and over,1
2020,Iraq,Middle East,Male,18 to 24,26
2020,Iraq,Middle East,Male,25 to 39,48
2020,Iraq,Middle East,Male,40 and over,13
2020,Iraq,Middle East,Male,17 and under,6
2020,Ivory Coast,Africa Sub-Saharan,Male,18 to 24,1
2020,Kuwait,Middle East,Male,25 to 39,1
2020,Kuwait,Middle East,Male,40 and over,1
2020,Libya,Africa North,Male,18 to 24,1
2020,Libya,Africa North,Male,25 to 39,3
2020,Mali,Africa Sub-Saharan,Male,18 to 24,3
2020,Mali,Africa Sub-Saharan,Male,25 to 39,2
2020,Mali,Africa Sub-Saharan,Male,40 and over,1
2020,Mali,Africa Sub-Saharan,Male,17 and under,3
2020,Morocco,Africa North,Male,18 to 24,1
2020,Nigeria,Africa Sub-Saharan,Male,18 to 24,1
2020,Occupied Palestinian Territories,Middle East,Male,18 to 24,1
2020,Occupied Palestinian Territories,Middle East,Male,25 to 39,4
2020,Pakistan,Asia South,Male,18 to 24,5
2020,Pakistan,Asia South,Male,25 to 39,27
2020,Pakistan,Asia South,Male,40 and over,5
2020,Refugee,Other,Female,17 and under,4
2020,Refugee,Other,Female,25 to 39,2
2020,Refugee,Other,Female,40 and over,2
2020,Refugee,Other,Male,17 and under,3
2020,Refugee,Other,Female,40 and over,1
2020,Refugee,Other,Male,18 to 24,5
2020,Refugee,Other,Male,25 to 39,5
2020,Refugee,Other,Male,40 and over,4
2020,Refugee,Other,Male,17 and under,2
2020,Senegal,Africa Sub-Saharan,Male,18 to 24,2
2020,Senegal,Africa Sub-Saharan,Male,17 and under,1
2020,Somalia,Africa Sub-Saharan,Female,40 and over,1
2020,Somalia,Africa Sub-Saharan,Male,18 to 24,1
2020,Somalia,Africa Sub-Saharan,Male,25 to 39,2
2020,Somalia,Africa Sub-Saharan,Male,40 and over,1
2020,Somalia,Africa Sub-Saharan,Male,17 and under,2
2020,South Sudan,Africa Sub-Saharan,Male,18 to 24,2
2020,South Sudan,Africa Sub-Saharan,Male,25 to 39,4
2020,Sri Lanka,Asia South,Male,18 to 24,1
2020,Sri Lanka,Asia South,Male,25 to 39,3
2020,Sri Lanka,Asia South,Male,40 and over,1
2020,Stateless,Other,Female,17 and under,4
2020,Stateless,Other,Female,40 and over,1
2020,Stateless,Other,Male,17 and under,3
2020,Stateless,Other,Male,18 to 24,1
2020,Stateless,Other,Male,25 to 39,2
2020,Stateless,Other,Male,40 and over,1
2020,Sudan,Africa North,Male,17 and under,1
2020,Sudan,Africa North,Female,25 to 39,1
2020,Sudan,Africa North,Male,17 and under,3
2020,Sudan,Africa North,Male,18 to 24,32
2020,Sudan,Africa North,Male,25 to 39,46
2020,Sudan,Africa North,Male,40 and over,5
2020,Sudan,Africa North,Male,17 and under,15
2020,Syria,Middle East,Female,25 to 39,1
2020,Syria,Middle East,Male,17 and under,4
2020,Syria,Middle East,Male,18 to 24,82
2020,Syria,Middle East,Male,25 to 39,69
2020,Syria,Middle East,Male,40 and over,11
2020,Syria,Middle East,Male,17 and under,17
2020,Syria,Middle East,Male,18 to 24,1
2020,Turkey,Europe Other,Male,25 to 39,1
2020,Turkey,Europe Other,Male,25 to 39,3
2020,Vietnam,Asia South East,Male,18 to 24,32
2020,Vietnam,Asia South East,Male,25 to 39,28
2020,Vietnam,Asia South East,Male,40 and over,2
2020,Vietnam,Asia South East,Male,17 and under,8
2020,Vietnam,Asia South East,Male,18 to 24,1
2020,Yemen,Middle East,Male,18 to 24,1
2020,Yemen,Middle East,Male,25 to 39,11
2020,Yemen,Middle East,Male,40 and over,1
2020,Albania,Europe Other,Male,18 to 24,2
2020,Albania,Europe Other,Male,25 to 39,5
2020,Chad,Africa Sub-Saharan,Male,17 and under,1
2020,Iran,Middle East,Female,17 and under,1
2020,Iran,Middle East,Male,17 and under,2
2020,Iran,Middle East,Male,25 to 39,1
2020,Iraq,Middle East,Male,25 to 39,1
2020,Pakistan,Asia South,Male,40 and over,1
2020,Vietnam,Asia South East,Male,18 to 24,3
2020,Vietnam,Asia South East,Male,25 to 39,3
2021,Afghanistan,Asia Central,Female,18 to 24,1
2021,Afghanistan,Asia Central,Female,25 to 39,1
2021,Afghanistan,Asia Central,Female,40 and over,1
2021,Afghanistan,Asia Central,Female,18 to 24,1
2021,Afghanistan,Asia Central,Female,25 to 39,1
2021,Afghanistan,Asia Central,Male,17 and under,3
2021,Afghanistan,Asia Central,Male,18 to 24,19
2021,Afghanistan,Asia Central,Male,25 to 39,24
2021,Afghanistan,Asia Central,Male,40 and over,2
2021,Afghanistan,Asia Central,Male,17 and under,19
2021,Afghanistan,Asia Central,Male,25 to 39,1
2021,Albania,Europe Other,Male,25 to 39,1
2021,Algeria,Africa North,Male,17 and under,1
2021,Chad,Africa Sub-Saharan,Male,18 to 24,1
2021,Chad,Africa Sub-Saharan,Male,25 to 39,1
2021,Egypt,Africa North,Male,18 to 24,6
2021,Egypt,Africa North,Male,25 to 39,11
2021,Egypt,Africa North,Male,40 and over,4
2021,Egypt,Africa North,Male,17 and under,1
2021,Eritrea,Africa Sub-Saharan,Female,17 and under,1
2021,Eritrea,Africa Sub-Saharan,Female,18 to 24,4
2021,Eritrea,Africa Sub-Saharan,Female,25 to 39,3
2021,Eritrea,Africa Sub-Saharan,Male,18 to 24,9
2021,Eritrea,Africa Sub-Saharan,Male,25 to 39,9
2021,Eritrea,Africa Sub-Saharan,Male,17 and under,1
2021,Ethiopia,Africa Sub-Saharan,Female,17 and under,1
2021,Ethiopia,Africa Sub-Saharan,Female,25 to 39,1
2021,Ethiopia,Africa Sub-Saharan,Male,18 to 24,2
2021,Ethiopia,Africa Sub-Saharan,Male,25 to 39,3
2021,Ethiopia,Africa Sub-Saharan,Male,17 and under,1
2021,Gambia,Africa Sub-Saharan,Male,18 to 24,1
2021,Gambia,Africa Sub-Saharan,Male,17 and under,3
2021,Ghana,Africa Sub-Saharan,Male,40 and over,1
2021,Guinea,Africa Sub-Saharan,Male,18 to 24,2
2021,Guinea,Africa Sub-Saharan,Male,25 to 39,2
2021,Guinea,Africa Sub-Saharan,Male,17 and under,2
2021,India,Asia South,Male,18 to 24,1
2021,India,Asia South,Male,25 to 39,4
2021,Iran,Middle East,Female,17 and under,7
2021,Iran,Middle East,Female,25 to 39,6
2021,Iran,Middle East,Male,17 and under,10
2021,Iran,Middle East,Male,25 to 39,1
2021,Iran,Middle East,Female,18 to 24,2
2021,Iran,Middle East,Female,25 to 39,10
2021,Iran,Middle East,Female,40 and over,7
2021,Iran,Middle East,Male,18 to 24,62
2021,Iran,Middle East,Male,25 to 39,175
2021,Iran,Middle East,Male,40 and over,32
2021,Iran,Middle East,Male,17 and under,37
2021,Iran,Middle East,Male,18 to 24,2
2021,Iraq,Middle East,Female,17 and under,17
2021,Iraq,Middle East,Female,18 to 24,2
2021,Iraq,Middle East,Female,25 to 39,15
2021,Iraq,Middle East,Female,40 and over,1
2021,Iraq,Middle East,Male,17 and under,18
2021,Iraq,Middle East,Male,25 to 39,3
2021,Iraq,Middle East,Unknown,17 and under,1
2021,Iraq,Middle East,Female,18 to 24,8
2021,Iraq,Middle East,Female,25 to 39,7
2021,Iraq,Middle East,Female,40 and over,2
2021,Iraq,Middle East,Male,18 to 24,41
2021,Iraq,Middle East,Male,25 to 39,100
2021,Iraq,Middle East,Male,40 and over,12
2021,Iraq,Middle East,Male,17 and under,14
2021,Iraq,Middle East,Male,18 to 24,1
2021,Iraq,Middle East,Male,25 to 39,1
2021,Kuwait,Middle East,Male,25 to 39,5
2021,Kuwait,Middle East,Male,40 and over,1
2021,Libya,Africa North,Male,18 to 24,2
2021,Libya,Africa North,Male,25 to 39,7
2021,Libya,Africa North,Male,40 and over,2
2021,Libya,Africa North,Male,17 and under,1
2021,Occupied Palestinian Territories,Middle East,Male,25 to 39,1
2021,Occupied Palestinian Territories,Middle East,Male,18 to 24,1
2021,Pakistan,Asia South,Male,18 to 24,5
2021,Pakistan,Asia South,Male,25 to 39,12
2021,Pakistan,Asia South,Male,40 and over,2
2021,Refugee,Other,Female,17 and under,2
2021,Refugee,Other,Male,25 to 39,1
2021,Refugee,Other,Male,17 and under,1
2021,Refugee,Other,Male,18 to 24,3
2021,Refugee,Other,Male,25 to 39,6
2021,Refugee,Other,Male,40 and over,1
2021,Refugee,Other,Male,17 and under,2
2021,Saudi Arabia,Middle East,Male,25 to 39,1
2021,Senegal,Africa Sub-Saharan,Male,18 to 24,1
2021,Senegal,Africa Sub-Saharan,Male,25 to 39,2
2021,Somalia,Africa Sub-Saharan,Male,18 to 24,1
2021,South Sudan,Africa Sub-Saharan,Male,17 and under,1
2021,South Sudan,Africa Sub-Saharan,Male,17 and under,2
2021,Sri Lanka,Asia South,Female,25 to 39,1
2021,Sri Lanka,Asia South,Male,18 to 24,1
2021,Sri Lanka,Asia South,Male,25 to 39,2
2021,Sri Lanka,Asia South,Male,40 and over,1
2021,Stateless,Other,Female,17 and under,2
2021,Stateless,Other,Female,25 to 39,1
2021,Stateless,Other,Female,40 and over,2
2021,Stateless,Other,Male,17 and under,4
2021,Stateless,Other,Male,18 to 24,6
2021,Stateless,Other,Male,25 to 39,2
2021,Stateless,Other,Male,40 and over,4
2021,Stateless,Other,Male,17 and under,1
2021,Sudan,Africa North,Female,18 to 24,1
2021,Sudan,Africa North,Male,18 to 24,35
2021,Sudan,Africa North,Male,25 to 39,28
2021,Sudan,Africa North,Male,40 and over,2
2021,Sudan,Africa North,Male,17 and under,8
2021,Syria,Middle East,Female,17 and under,2
2021,Syria,Middle East,Female,25 to 39,2
2021,Syria,Middle East,Male,17 and under,5
2021,Syria,Middle East,Female,25 to 39,1
2021,Syria,Middle East,Female,40 and over,2
2021,Syria,Middle East,Male,18 to 24,84
2021,Syria,Middle East,Male,25 to 39,86
2021,Syria,Middle East,Male,40 and over,9
2021,Syria,Middle East,Male,17 and under,20
2021,Syria,Middle East,Male,18 to 24,3
2021,Syria,Middle East,Male,25 to 39,1
2021,Turkey,Europe Other,Male,40 and over,2
2021,Turkey,Europe Other,Male,17 and under,1
2021,Vietnam,Asia South East,Female,17 and under,1
2021,Vietnam,Asia South East,Female,18 to 24,1
2021,Vietnam,Asia South East,Female,25 to 39,1
2021,Vietnam,Asia South East,Male,25 to 39,1
2021,Vietnam,Asia South East,Female,18 to 24,3
2021,Vietnam,Asia South East,Female,25 to 39,9
2021,Vietnam,Asia South East,Male,17 and under,1
2021,Vietnam,Asia South East,Male,18 to 24,79
2021,Vietnam,Asia South East,Male,25 to 39,88
2021,Vietnam,Asia South East,Male,40 and over,6
2021,Vietnam,Asia South East,Female,17 and under,2
2021,Vietnam,Asia South East,Male,17 and under,12
2021,Vietnam,Asia South East,Male,18 to 24,5
2021,Vietnam,Asia South East,Male,25 to 39,2
2021,Yemen,Middle East,Male,17 and under,1
2021,Yemen,Middle East,Male,25 to 39,5
2021,Yemen,Middle East,Male,40 and over,1
2021,Yemen,Middle East,Male,17 and under,2
2021,Afghanistan,Asia Central,Male,25 to 39,1
2021,Iran,Middle East,Male,17 and under,1
2021,Iran,Middle East,Male,18 to 24,2
2021,Iran,Middle East,Male,25 to 39,2
2021,Iraq,Middle East,Male,25 to 39,2
2021,Other and unknown,Other,Male,25 to 39,1
2021,Pakistan,Asia South,Male,25 to 39,1
2021,Stateless,Other,Female,17 and under,1
2021,Stateless,Other,Male,18 to 24,1
2021,Syria,Middle East,Male,18 to 24,1
2021,Vietnam,Asia South East,Male,17 and under,2
2021,Vietnam,Asia South East,Male,25 to 39,2
2021,Afghanistan,Asia Central,Female,17 and under,2
2021,Afghanistan,Asia Central,Female,25 to 39,1
2021,Afghanistan,Asia Central,Male,17 and under,5
2021,Afghanistan,Asia Central,Female,18 to 24,1
2021,Afghanistan,Asia Central,Female,25 to 39,3
2021,Afghanistan,Asia Central,Female,40 and over,1
2021,Afghanistan,Asia Central,Male,17 and under,1
2021,Afghanistan,Asia Central,Male,18 to 24,41
2021,Afghanistan,Asia Central,Male,25 to 39,55
2021,Afghanistan,Asia Central,Male,40 and over,6
2021,Afghanistan,Asia Central,Male,17 and under,54
2021,Afghanistan,Asia Central,Male,18 to 24,1
2021,Afghanistan,Asia Central,Male,25 to 39,1
2021,Albania,Europe Other,Male,18 to 24,10
2021,Albania,Europe Other,Male,25 to 39,11
2021,Albania,Europe Other,Male,40 and over,1
2021,Algeria,Africa North,Male,18 to 24,2
2021,Algeria,Africa North,Male,25 to 39,11
2021,Belarus,Europe Other,Female,18 to 24,1
2021,Central African Republic,Africa Sub-Saharan,Male,18 to 24,1
2021,Central African Republic,Africa Sub-Saharan,Male,25 to 39,1
2021,Central African Republic,Africa Sub-Saharan,Male,17 and under,2
2021,Chad,Africa Sub-Saharan,Male,18 to 24,1
2021,Chad,Africa Sub-Saharan,Male,25 to 39,2
2021,Chad,Africa Sub-Saharan,Male,17 and under,6
2021,Egypt,Africa North,Female,25 to 39,1
2021,Egypt,Africa North,Male,17 and under,1
2021,Egypt,Africa North,Male,18 to 24,22
2021,Egypt,Africa North,Male,25 to 39,25
2021,Egypt,Africa North,Male,40 and over,7
2021,Egypt,Africa North,Male,17 and under,2
2021,Eritrea,Africa Sub-Saharan,Female,17 and under,5
2021,Eritrea,Africa Sub-Saharan,Female,18 to 24,1
2021,Eritrea,Africa Sub-Saharan,Female,25 to 39,5
2021,Eritrea,Africa Sub-Saharan,Male,17 and under,15
2021,Eritrea,Africa Sub-Saharan,Female,17 and under,2
2021,Eritrea,Africa Sub-Saharan,Female,18 to 24,37
2021,Eritrea,Africa Sub-Saharan,Female,25 to 39,40
2021,Eritrea,Africa Sub-Saharan,Female,40 and over,6
2021,Eritrea,Africa Sub-Saharan,Male,17 and under,4
2021,Eritrea,Africa Sub-Saharan,Male,18 to 24,120
2021,Eritrea,Africa Sub-Saharan,Male,25 to 39,270
2021,Eritrea,Africa Sub-Saharan,Male,40 and over,26
2021,Eritrea,Africa Sub-Saharan,Female,17 and under,23
2021,Eritrea,Africa Sub-Saharan,Male,17 and under,23
2021,Eritrea,Africa Sub-Saharan,Male,18 to 24,1
2021,Eritrea,Africa Sub-Saharan,Male,25 to 39,1
2021,Ethiopia,Africa Sub-Saharan,Female,17 and under,4
2021,Ethiopia,Africa Sub-Saharan,Female,18 to 24,2
2021,Ethiopia,Africa Sub-Saharan,Male,17 and under,2
2021,Ethiopia,Africa Sub-Saharan,Male,40 and over,1
2021,Ethiopia,Africa Sub-Saharan,Female,18 to 24,5
2021,Ethiopia,Africa Sub-Saharan,Female,25 to 39,6
2021,Ethiopia,Africa Sub-Saharan,Female,40 and over,1
2021,Ethiopia,Africa Sub-Saharan,Male,17 and under,2
2021,Ethiopia,Africa Sub-Saharan,Male,18 to 24,29
2021,Ethiopia,Africa Sub-Saharan,Male,25 to 39,47
2021,Ethiopia,Africa Sub-Saharan,Male,40 and over,4
2021,Ethiopia,Africa Sub-Saharan,Female,17 and under,2
2021,Ethiopia,Africa Sub-Saharan,Male,17 and under,8
2021,Ethiopia,Africa Sub-Saharan,Male,18 to 24,1
2021,Gambia,Africa Sub-Saharan,Female,17 and under,1
2021,Gambia,Africa Sub-Saharan,Male,18 to 24,1
2021,Gambia,Africa Sub-Saharan,Male,25 to 39,1
2021,Gambia,Africa Sub-Saharan,Male,17 and under,1
2021,Ghana,Africa Sub-Saharan,Male,40 and over,1
2021,Guinea,Africa Sub-Saharan,Male,18 to 24,1
2021,Guinea,Africa Sub-Saharan,Male,25 to 39,1
2021,Guinea,Africa Sub-Saharan,Male,17 and under,1
2021,Haiti,America Central and South,Male,40 and over,1
2021,India,Asia South,Female,17 and under,1
2021,India,Asia South,Female,25 to 39,1
2021,India,Asia South,Male,17 and under,1
2021,India,Asia South,Female,40 and over,1
2021,India,Asia South,Male,25 to 39,14
2021,India,Asia South,Male,40 and over,6
2021,Iran,Middle East,Female,17 and under,14
2021,Iran,Middle East,Female,18 to 24,1
2021,Iran,Middle East,Female,25 to 39,13
2021,Iran,Middle East,Female,40 and over,6
2021,Iran,Middle East,Male,17 and under,16
2021,Iran,Middle East,Male,25 to 39,3
2021,Iran,Middle East,Male,40 and over,1
2021,Iran,Middle East,Female,18 to 24,2
2021,Iran,Middle East,Female,25 to 39,12
2021,Iran,Middle East,Female,40 and over,9
2021,Iran,Middle East,Male,17 and under,5
2021,Iran,Middle East,Male,18 to 24,222
2021,Iran,Middle East,Male,25 to 39,391
2021,Iran,Middle East,Male,40 and over,78
2021,Iran,Middle East,Male,17 and under,99
2021,Iran,Middle East,Male,25 to 39,2
2021,Iraq,Middle East,Female,17 and under,40
2021,Iraq,Middle East,Female,18 to 24,7
2021,Iraq,Middle East,Female,25 to 39,19
2021,Iraq,Middle East,Female,40 and over,6
2021,Iraq,Middle East,Male,17 and under,46
2021,Iraq,Middle East,Male,25 to 39,8
2021,Iraq,Middle East,Male,40 and over,1
2021,Iraq,Middle East,Female,18 to 24,11
2021,Iraq,Middle East,Female,25 to 39,13
2021,Iraq,Middle East,Female,40 and over,4
2021,Iraq,Middle East,Male,17 and under,2
2021,Iraq,Middle East,Male,18 to 24,161
2021,Iraq,Middle East,Male,25 to 39,220
2021,Iraq,Middle East,Male,40 and over,31
2021,Iraq,Middle East,Male,17 and under,37
2021,Iraq,Middle East,Male,18 to 24,1
2021,Iraq,Middle East,Male,25 to 39,2
2021,Ivory Coast,Africa Sub-Saharan,Male,25 to 39,1
2021,Kuwait,Middle East,Female,17 and under,5
2021,Kuwait,Middle East,Female,25 to 39,3
2021,Kuwait,Middle East,Female,40 and over,1
2021,Kuwait,Middle East,Male,17 and under,7
2021,Kuwait,Middle East,Female,18 to 24,2
2021,Kuwait,Middle East,Female,25 to 39,1
2021,Kuwait,Middle East,Female,40 and over,1
2021,Kuwait,Middle East,Male,18 to 24,8
2021,Kuwait,Middle East,Male,25 to 39,24
2021,Kuwait,Middle East,Male,40 and over,4
2021,Lebanon,Middle East,Male,25 to 39,1
2021,Libya,Africa North,Male,17 and under,1
2021,Libya,Africa North,Male,18 to 24,8
2021,Libya,Africa North,Male,25 to 39,20
2021,Libya,Africa North,Male,40 and over,1
2021,Mauritania,Africa North,Male,25 to 39,1
2021,Morocco,Africa North,Male,25 to 39,4
2021,Occupied Palestinian Territories,Middle East,Male,18 to 24,5
2021,Occupied Palestinian Territories,Middle East,Male,25 to 39,5
2021,Pakistan,Asia South,Male,18 to 24,7
2021,Pakistan,Asia South,Male,25 to 39,17
2021,Pakistan,Asia South,Male,40 and over,3
2021,Pakistan,Asia South,Male,17 and under,1
